name,utm_zone,initial_viewstate
佐賀,52SFB,"{""bearing"":0,""latitude"":33.24109212529579, ""longitude"":130.24385380928175, ""pitch"":51.01878408641029, ""zoom"":12.307506505709554}"
渡良瀬,54SUF,"{""bearing"":0,""latitude"":36.224856363312824, ""longitude"":139.67971612941642, ""pitch"":50.45855572271086, ""zoom"":11.12266948088849}"
佐久,54STF,"{""bearing"":0,""latitude"":36.27478545029405, ""longitude"":138.45036262282457, ""pitch"":51.73112771491372, ""zoom"":10.154061114381538}"
一関,54SWJ,"{""bearing"":0,""latitude"":38.93454919754194, ""longitude"":141.15039887953787, ""pitch"":50.68858300408569, ""zoom"":9.702749139267114}"
